_id,locationId,locationName,locationType,address,city,postal_code,addressInfo,lat,long,dates,hours,info,phone,phoneExt,phoneAlt,phoneAltExt,website,accessibility,sameDayAppt,active,temporarily_closed,pharmacy,operated_by,location_name_fr,operated_by_fr,address_fr,province,PHU,PHU_fr,monday,tuesday,wednesday,thursday,friday,saturday,sunday,appointments,online_appointments,phone_appointments,walk_ins,symptomatic,drive_through,general_population,children_under_2,age_threshold,weeks_pregnant,french_language_services,accessible,asl_interpretation,first_nations,free_parking,paid_parking,public_transit,additional_information,additional_information_fr,Monday_Open,Monday_Closed,Tuesday_Open,Tuesday_Closed,Wednesday_Open,Wednesday_Closed,Thursday_Open,Thursday_Closed,Friday_Open,Friday_Closed,Saturday_Open,Saturday_Closed,Sunday_Open,Sunday_Closed,Data_Source,OBJECTID,geometry,Date_Added,wardName
197083,216,"Regent Park, 40 Oaks (Fred Victor)",Hospital Immunization Clinic,40 Oak Street,NA,NA,NA,NA,-79.36531997497,NA,NA,Please visit the hospital's website for booking information. Accessible and limited parking is available.,NA,NA,NA,NA,https://regentparkchc.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,25,"c(-79.36531997497, 43.661619703176)",NA,Toronto Centre
197084,208,University Health Network - University of Toronto - St. George's Campus Vaccination Clinic,Hospital Immunization Clinic,255 McCaul Street (entrance through main doors on McCaul Street),NA,NA,NA,NA,-79.392924501954,NA,NA,Please visit the hospital's website for booking information.,NA,NA,NA,NA,University-Rosedale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,26,"c(-79.392924501954, 43.65874688966)",NA,NA
197085,201,East York Town Centre,Hospital Immunization Clinic,45 Overlea Boulevard,NA,NA,NA,NA,-79.346049059625,NA,NA,Please visit the hospital's website for booking information.,NA,NA,NA,NA,https://tehn.ca/covid19/covid-19-vaccine/covid-19-immunization-clinics-east-toronto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,27,"c(-79.346049059625, 43.705981419136)",NA,Don Valley West
197086,184,Carefirst Seniors and Community Services Association Clinic,Hospital Immunization Clinic,300 Silver Star Boulevard,NA,NA,NA,NA,-79.294956688457,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,https://www.scarboroughcovidvaccineclinic.ca/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,28,"c(-79.294956688457, 43.812781513219)",NA,Scarborough-Agincourt
197087,185,Centennial College Progress Campus Clinic,Hospital Immunization Clinic,941 Progress Avenue,NA,NA,NA,NA,-79.22820230195,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,https://www.scarboroughcovidvaccineclinic.ca/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,29,"c(-79.22820230195, 43.785626371638)",NA,Scarborough-Guildwood
197088,186,Humber River Hospital COVax Vaccine Clinic - Downsview Arena,Hospital Immunization Clinic,2625 Weston Road,NA,NA,NA,NA,-79.531034259625,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,https://www.hrh.ca/covax-clinic-booking/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,30,"c(-79.531034259625, 43.713852472062)",NA,York South-Weston
197089,190,Seneca College Vaccination Clinic,Hospital Immunization Clinic,1750 Finch Avenue East,NA,NA,NA,NA,-79.349676663484,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,https://www.nygh.on.ca/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,31,"c(-79.349676663484, 43.795323958241)",NA,Don Valley North
197090,191,SHN Centenary Clinic,Hospital Immunization Clinic,2867 Ellesmere Road,NA,NA,NA,NA,-79.206660232638,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,https://www.scarboroughcovidvaccineclinic.ca/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,32,"c(-79.206660232638, 43.78239801145)",NA,Scarborough-Guildwood
197091,198,Warden Hilltop Community Centre,Hospital Immunization Clinic,25 Mendelssohn Street,NA,NA,NA,NA,-79.280742319149,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,https://tehn.ca/covid19/covid-19-vaccine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,33,"c(-79.280742319149, 43.71479635415)",NA,Scarborough Southwest
197092,209,West Park Healthcare Centre,Hospital Immunization Clinic,82 Buttonwood Avenue,NA,NA,NA,NA,-79.508040174969,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,https://www.westpark.org/en/PatientsAndFamilies/COVID-19/VaccinationClinics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,34,"c(-79.508040174969, 43.689919358638)",NA,York South-Weston
197093,189,NYGH Vaccination Clinic,Hospital Immunization Clinic,4001 Leslie Street,NA,NA,NA,NA,-79.363201801951,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,35,"c(-79.363201801951, 43.769755820985)",NA,Don Valley North
197094,246,KIPLING & QUEENSWAY PHARMACY,Pharmacy Immunization Site,"1255 THE QUEENSWAY, UNIT-20",NA,NA,NA,NA,-79.524809007,NA,"Monday: 10 a.m.-6 p.m., Tuesday: 10 a.m.-6 p.m., Wednesday: 10 a.m.-6 p.m., Thursday: 10 a.m.-6 p.m., Friday: 10 a.m.-6 p.m., Saturday: 10 a.m.-4 p.m., Sunday: CLOSED","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-508-3550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,36,"c(-79.524809007, 43.621073842)",2021-03-18,Etobicoke-Lakeshore
197095,247,NEW CALEDONIA PHARMACY,Pharmacy Immunization Site,600 Caledonia Rd,NA,NA,NA,NA,-79.462294728,NA,"Monday: 9 a.m.-6:30 p.m., Tuesday: 9 a.m.-6:30 p.m., Wednesday: 9 a.m.-6:30 p.m., Thursday: 9 a.m.-6:30 p.m., Friday: 9 a.m.-5 p.m., Saturday: 9 a.m.-2:30 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-785-8385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,37,"c(-79.462294728, 43.693285018)",2021-03-18,Eglinton-Lawrence
197096,248,HEALTH CHECK PHARMACY   PHARMASAVE,Pharmacy Immunization Site,"2826A MARKHAM ROAD, SCARBOROUGH, ONTARIO",NA,NA,NA,NA,-79.248587886,NA,"Monday: 9.30-20:00, Tuesday: 9.30-20:00, Wednesday: 9.30-20:00, Thursday: 9.30-20:00, Friday: 9.30-20:00, Saturday: 9.30-16:00, Sunday: CLOSED","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-298-8165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,38,"c(-79.248587886, 43.823166745)",2021-03-18,Scarborough North
197097,249,Vina Pharmacy,Pharmacy Immunization Site,1025 Gerrard Street E,NA,NA,NA,NA,-79.337169872,NA,"Monday: 9:30 a.m.-7 p.m., Tuesday: 9:30 a.m.-7 p.m., Wednesday: 9:30 a.m.-7 p.m., Thursday: 9:30 a.m.-7 p.m., Friday: 9:30 a.m.-7 p.m., Saturday: 10:30 a.m.-3 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-469-5386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,39,"c(-79.337169872, 43.668691587)",2021-03-18,Toronto-Danforth
197098,250,Birchmount Pharmasave,Pharmacy Immunization Site,462 Birchmount Road,NA,NA,NA,NA,-79.26959561,NA,"Monday: 9 a.m.-7 p.m., Tuesday: 9 a.m.-7 p.m., Wednesday: 9 a.m.-7 p.m., Thursday: 9 a.m.-7 p.m., Friday: 9 a.m.-7 p.m., Saturday: 9 a.m.-4 p.m., Sunday: 10 a.m.-1 p.m.","Adults 25 and over are eligible to receive the Moderna vaccine. This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-698-1616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,40,"c(-79.26959561, 43.707284138)",2021-03-18,Scarborough Southwest
197099,251,Whole Health Pharmacy,Pharmacy Immunization Site,"1575 Jane Street, Unit 7",NA,NA,NA,NA,-79.5023861,NA,"Monday: 10 a.m.-7 p.m., Tuesday: 10 a.m.-7 p.m., Wednesday: 10 a.m.-7 p.m., Thursday: 10 a.m.-7 p.m., Friday: 10 a.m.-7 p.m., Saturday: 9:30 a.m.-1:30 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-245-2273,NA,NA,NA,https://wholehealthcooksville.ca/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,41,"c(-79.5023861, 43.699196993)",2021-03-18,York South-Weston
197100,252,pharmasave 606,Pharmacy Immunization Site,944 Kingston Rd.,NA,NA,NA,NA,-79.288039552,NA,"Monday: 9 a.m.-5 p.m., Tuesday: 9 a.m.-5 p.m., Wednesday: 9 a.m.-5 p.m., Thursday: 9 a.m.-5 p.m., Friday: 9 a.m.-5 p.m., Saturday: 9 a.m.-3 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-698-1641,NA,NA,NA,https://lawlor.medmeapp.ca/schedule/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,42,"c(-79.288039552, 43.680636081)",2021-03-18,Beaches-East York
197101,253,Keele and Finch Pharmacy,Pharmacy Immunization Site,102- 1275 Finch Ave West,NA,NA,NA,NA,-79.487445664,NA,"Monday: 9 a.m.-5 p.m., Tuesday: 9 a.m.-5 p.m., Wednesday: 9 a.m.-5 p.m., Thursday: 9 a.m.-5 p.m., Friday: 9 a.m.-5 p.m., Saturday: 9 a.m.-6 p.m., Sunday: Closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-349-2273,NA,NA,NA,https://pharmasave.com/store/pharmasave-university-heights-pharmacy/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,43,"c(-79.487445664, 43.763887344)",2021-03-18,York Centre
197102,254,Jarvis st. Apothecary,Pharmacy Immunization Site,275 Jarvis St.,NA,NA,NA,NA,-79.374722773,NA,"Monday: 9 a.m.-6:30 p.m., Tuesday: 9 a.m.-6:30 p.m., Wednesday: 9 a.m.-6:30 p.m., Thursday: 9 a.m.-6:30 p.m., Friday: 9 a.m.-6:30pm, Saturday: 9 a.m.-5 p.m., Sunday: Closed","Adults 25 and over are eligible to receive the Moderna vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-792-1959,NA,NA,NA,https://jarvis-st-apothecary.business.site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,44,"c(-79.374722773, 43.658253511)",2021-03-18,Toronto Centre
197103,255,Total Health Pharmacy,Pharmacy Immunization Site,997 Gerrard St E,NA,NA,NA,NA,-79.338046193,NA,"Monday: 10 a.m.-6 p.m., Tuesday: 10 a.m.-6 p.m., Wednesday: 10 a.m.-6 p.m., Thursday: 10 a.m.-6 p.m., Friday: 10 a.m.-6 p.m., Saturday: 10 a.m.-6 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-351-3784,NA,NA,NA,https://pharmaconnect.ca/Appointment/ff38dc2c-4b68-479a-a6a5-5c0f6bd992c5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,45,"c(-79.338046193, 43.668487404)",2021-03-18,Toronto-Danforth
